enrolled,query,label,minutiae,texture,minutiae_norm,texture_norm,fusion_weighted,fusion_ml,fusion
109_4.tif,109_6.tif,1,0.3227,0.5294431447982788,0.47573786893446723,0.47685238028489907,0.4759496260910493,0.6663832722944618,0.4759496260910493
110_3.tif,110_5.tif,1,0.2783,0.8462544083595276,0.4017008504252126,0.8744188019087816,0.49151726120709066,0.7466573421725231,0.49151726120709066
103_3.tif,103_4.tif,1,0.5981,0.8980931043624878,0.9349674837418709,0.9394711761200942,0.9358231852937333,0.9822791077455821,0.9358231852937333
104_8.tif,105_4.tif,0,0.1473,0.5418368577957153,0.18325829581457392,0.492405249433668,0.24199621700220178,0.3190239601540973,0.24199621700220178
104_1.tif,110_4.tif,0,0.1952,0.48807358741760254,0.26313156578289143,0.42493772703956195,0.29387473642165884,0.358125595050827,0.29387473642165884
106_8.tif,104_8.tif,0,0.2171,0.3162590265274048,0.2996498249124562,0.20932765248554044,0.2824886121513422,0.319808810855205,0.2824886121513422
105_3.tif,105_6.tif,1,0.2289,0.3920701742172241,0.31932632983158243,0.3044630538202036,0.3165023073894204,0.36667890892714233,0.3165023073894204
102_5.tif,104_4.tif,0,0.1622,0.289711058139801,0.208104052026013,0.17601260972285449,0.2020066779884129,0.20030895011765967,0.2020066779884129
103_1.tif,109_6.tif,0,0.2629,0.46110662817955017,0.37602134400533604,0.3910968927023166,0.37888569825776236,0.48814620405775305,0.37888569825776236
107_6.tif,102_6.tif,0,0.1339,0.23446744680404663,0.16091379022844754,0.10668740761529005,0.1506107775319476,0.1412844218290439,0.1506107775319476
107_1.tif,107_5.tif,1,0.1475,0.3410845696926117,0.18359179589794897,0.24048122401615754,0.1944007872404086,0.21670267309798646,0.1944007872404086
110_7.tif,107_4.tif,0,0.1282,0.4398338198661804,0.15140903785225948,0.3644016477669921,0.19187763373605865,0.2282360300101687,0.19187763373605865
104_6.tif,104_7.tif,1,0.5341,0.7840632200241089,0.8282474570618643,0.7963750861484381,0.8221917065883133,0.9626386940321191,0.8221917065883133
105_1.tif,105_8.tif,1,0.1449,0.26654699444770813,0.1792562948140737,0.14694402860988323,0.17311696423527753,0.18312980533726864,0.17311696423527753
105_6.tif,107_2.tif,0,0.25,0.49512529373168945,0.35451058862764717,0.4337869125581572,0.36957309017444406,0.4917656405772893,0.36957309017444406
101_1.tif,101_4.tif,1,0.2816,0.5923758745193481,0.4072036018009005,0.5558266562528096,0.4354419821467632,0.6268246649279421,0.4354419821467632
109_7.tif,108_1.tif,0,0.2381,0.46523964405059814,0.3346673336668334,0.396283413888138,0.3463743889088813,0.43571260069059153,0.3463743889088813
109_3.tif,102_3.tif,0,0.193,0.4406179189682007,0.25946306486576626,0.3653856136483959,0.27958834913446584,0.3438733323930209,0.27958834913446584
105_2.tif,105_3.tif,1,0.2243,0.425324410200119,0.311655827913957,0.3461937910892708,0.31821804091726663,0.39699432432203174,0.31821804091726663
104_5.tif,101_1.tif,0,0.1481,0.38587355613708496,0.18459229614807404,0.2966869184372692,0.2058902743830211,0.2268090502973295,0.2058902743830211
105_2.tif,105_6.tif,1,0.3738,0.9023934602737427,0.5609471402367852,0.9448676923049305,0.6338920451297327,0.8869503944455048,0.6338920451297327
105_3.tif,105_5.tif,1,0.0945,0.20779649913311005,0.09521427380356845,0.07321803816276704,0.09103498903181617,0.10374759400563195,0.09103498903181617
109_6.tif,110_8.tif,0,0.2151,0.6205766201019287,0.2963148240787061,0.591215768945214,0.35234600360334256,0.4991157317319149,0.35234600360334256
109_3.tif,109_5.tif,1,0.2653,0.4455605149269104,0.38002334500583623,0.37158807680184686,0.37842064404707826,0.483519958049718,0.37842064404707826
110_3.tif,106_2.tif,0,0.0838,0.4088798761367798,0.07737201934300483,0.32555754700709066,0.12452726959918113,0.16022036323747293,0.12452726959918113
104_3.tif,104_4.tif,1,0.3938,0.6866006255149841,0.5942971485742872,0.6740692864568147,0.6094538547719673,0.8498832504390955,0.6094538547719673
101_5.tif,101_6.tif,1,0.6303,0.9436463713645935,0.9886609971652492,0.996635966133323,0.9901762412691832,0.9885868337553395,0.9901762412691832
108_5.tif,107_4.tif,0,0.248,0.47766584157943726,0.35117558779389696,0.4118770478719784,0.3627088652087324,0.46818271163531533,0.3627088652087324
103_2.tif,103_8.tif,1,0.1869,0.5189741849899292,0.2492913123228281,0.46371488371251113,0.29003179088686787,0.3760571138319006,0.29003179088686787
